survey_week,beach,species_type,total
2012-07-02,PURISIMA,Gull,50
2012-07-02,PURISIMA,Shorebird,3
2012-07-02,SOUTH,Gull,73
2012-07-02,SOUTH,Shorebird,196
2012-07-02,SOUTH,Tern,6
2012-07-09,NORTH,Gull,73
2012-07-09,NORTH,Shorebird,123
2012-07-09,PURISIMA,Gull,47
2012-07-09,PURISIMA,Shorebird,10
2012-07-09,PURISIMA,Tern,2
2012-07-09,SOUTH,Gull,8
2012-07-09,SOUTH,Shorebird,246
2012-07-09,SOUTH,Tern,1
2012-07-16,NORTH,Gull,1
2012-07-16,NORTH,Shorebird,141
2012-07-16,PURISIMA,Gull,30
2012-07-16,PURISIMA,Shorebird,6
2012-07-16,SOUTH,Gull,159
2012-07-16,SOUTH,Shorebird,412
2012-07-23,NORTH,Gull,453
2012-07-23,NORTH,Shorebird,155
2012-07-23,PURISIMA,Gull,36
2012-07-23,PURISIMA,Shorebird,43
2012-07-23,SOUTH,Gull,161
2012-07-23,SOUTH,Shorebird,379
2012-07-30,NORTH,Gull,649
2012-07-30,NORTH,Shorebird,498
2012-07-30,PURISIMA,Gull,45
2012-07-30,PURISIMA,Shorebird,7
2012-07-30,PURISIMA,Tern,2
2012-07-30,SOUTH,Gull,49
2012-07-30,SOUTH,Shorebird,272
2012-07-30,SOUTH,Tern,1
2012-08-06,NORTH,Gull,223
2012-08-06,NORTH,Shorebird,3407
2012-08-06,PURISIMA,Gull,46
2012-08-06,PURISIMA,Shorebird,2145
2012-08-06,SOUTH,Shorebird,263
2012-08-13,NORTH,Gull,403
2012-08-13,NORTH,Shorebird,1423
2012-08-13,PURISIMA,Gull,65
2012-08-13,PURISIMA,Shorebird,120
2012-08-13,SOUTH,Gull,15
2012-08-13,SOUTH,Shorebird,531
2012-08-20,NORTH,Gull,662
2012-08-20,NORTH,Shorebird,368
2012-08-20,PURISIMA,Gull,122
2012-08-20,PURISIMA,Shorebird,140
2012-08-20,SOUTH,Gull,28
2012-08-20,SOUTH,Shorebird,585
2012-08-27,NORTH,Gull,711
2012-08-27,NORTH,Shorebird,247
2012-08-27,NORTH,Tern,10
2012-08-27,PURISIMA,Gull,173
2012-08-27,PURISIMA,Shorebird,105
2012-08-27,SOUTH,Shorebird,616
2012-09-03,SOUTH,Shorebird,1373
2012-09-10,SOUTH,Gull,135
2012-09-10,SOUTH,Shorebird,3047
2012-09-17,NORTH,Gull,768
2012-09-17,NORTH,Shorebird,329
2012-09-17,PURISIMA,Gull,86
2012-09-17,PURISIMA,Shorebird,2012
2013-03-11,NORTH,Gull,1
2013-03-11,NORTH,Shorebird,608
2013-03-11,PURISIMA,Shorebird,1
2013-03-11,SOUTH,Shorebird,2479
2013-03-18,NORTH,Gull,3
2013-03-18,NORTH,Shorebird,1109
2013-03-18,SOUTH,Gull,155
2013-03-18,SOUTH,Shorebird,4168
2013-03-25,NORTH,Shorebird,45
2013-03-25,PURISIMA,Shorebird,1
2013-03-25,SOUTH,Gull,2
2013-03-25,SOUTH,Shorebird,552
2013-04-01,NORTH,Shorebird,105
2013-04-01,PURISIMA,Shorebird,11
2013-04-01,SOUTH,Gull,90
2013-04-01,SOUTH,Shorebird,2599
2013-04-08,NORTH,Shorebird,923
2013-04-08,PURISIMA,Shorebird,26
2013-04-08,SOUTH,Gull,220
2013-04-08,SOUTH,Shorebird,13134
2013-04-15,NORTH,Shorebird,3838
2013-04-15,PURISIMA,Gull,2
2013-04-15,PURISIMA,Shorebird,257
2013-04-15,SOUTH,Gull,36
2013-04-15,SOUTH,Shorebird,7322
2013-04-22,NORTH,Shorebird,498
2013-04-22,PURISIMA,Shorebird,3
2013-04-22,SOUTH,Gull,50
2013-04-22,SOUTH,Shorebird,3315
2013-04-29,NORTH,Gull,25
2013-04-29,NORTH,Shorebird,524
2013-04-29,PURISIMA,Shorebird,13
2013-04-29,SOUTH,Shorebird,323
2013-05-06,NORTH,Shorebird,88
2013-05-06,PURISIMA,Shorebird,9
2013-05-06,SOUTH,Gull,3
2013-05-06,SOUTH,Shorebird,135
2013-05-13,NORTH,Shorebird,116
2013-05-13,PURISIMA,Shorebird,6
2013-05-13,SOUTH,Gull,1
2013-05-13,SOUTH,Shorebird,698
2013-05-20,NORTH,Gull,6
2013-05-20,NORTH,Shorebird,888
2013-05-20,PURISIMA,Gull,1
2013-05-20,PURISIMA,Shorebird,304
2013-05-20,SOUTH,Shorebird,125
2013-06-03,NORTH,Gull,35
2013-06-03,NORTH,Shorebird,118
2013-06-03,PURISIMA,Gull,17
2013-06-03,PURISIMA,Shorebird,17
2013-06-03,SOUTH,Gull,51
2013-06-03,SOUTH,Shorebird,205
2013-06-10,NORTH,Gull,13
2013-06-10,NORTH,Shorebird,81
2013-06-10,PURISIMA,Shorebird,10
2013-06-10,SOUTH,Gull,16
2013-06-10,SOUTH,Shorebird,153
2013-06-17,SOUTH,Gull,36
2013-06-17,SOUTH,Shorebird,55
2013-06-24,NORTH,Gull,2
2013-06-24,NORTH,Shorebird,111
2013-06-24,PURISIMA,Gull,8
2013-06-24,PURISIMA,Shorebird,17
2013-06-24,SOUTH,Gull,3
2013-06-24,SOUTH,Shorebird,131
2013-07-01,NORTH,Shorebird,126
2013-07-01,PURISIMA,Shorebird,8
2013-07-01,SOUTH,Shorebird,25
2013-07-08,NORTH,Shorebird,98
2013-07-08,PURISIMA,Shorebird,8
2013-07-08,SOUTH,Gull,1
2013-07-08,SOUTH,Shorebird,196
2013-07-15,NORTH,Gull,10
2013-07-15,NORTH,Shorebird,110
2013-07-15,PURISIMA,Gull,26
2013-07-15,PURISIMA,Shorebird,27
2013-07-15,SOUTH,Shorebird,159
2013-07-22,NORTH,Gull,169
2013-07-22,NORTH,Shorebird,259
2013-07-22,PURISIMA,Gull,6
2013-07-22,PURISIMA,Shorebird,30
2013-07-22,SOUTH,Gull,160
2013-07-22,SOUTH,Shorebird,530
2013-07-29,NORTH,Gull,490
2013-07-29,NORTH,Shorebird,381
2013-07-29,PURISIMA,Gull,71
2013-07-29,PURISIMA,Shorebird,1084
2013-07-29,SOUTH,Gull,77
2013-07-29,SOUTH,Shorebird,524
2013-08-05,NORTH,Gull,616
2013-08-05,NORTH,Shorebird,1331
2013-08-05,NORTH,Tern,10
2013-08-05,PURISIMA,Gull,32
2013-08-05,PURISIMA,Shorebird,769
2013-08-05,SOUTH,Gull,306
2013-08-05,SOUTH,Shorebird,819
2013-08-05,SOUTH,Tern,28
2013-08-12,NORTH,Gull,581
2013-08-12,NORTH,Shorebird,492
2013-08-12,PURISIMA,Gull,77
2013-08-12,PURISIMA,Shorebird,395
2013-08-12,SOUTH,Gull,503
2013-08-12,SOUTH,Shorebird,780
2013-08-12,SOUTH,Tern,12
2013-08-19,NORTH,Gull,684
2013-08-19,NORTH,Shorebird,189
2013-08-19,NORTH,Tern,6
2013-08-19,PURISIMA,Shorebird,36
2013-08-19,SOUTH,Gull,806
2013-08-19,SOUTH,Shorebird,322
2013-08-26,NORTH,Gull,525
2013-08-26,NORTH,Shorebird,828
2013-08-26,PURISIMA,Gull,63
2013-08-26,PURISIMA,Shorebird,4123
2013-08-26,SOUTH,Gull,387
2013-08-26,SOUTH,Shorebird,584
2013-08-26,SOUTH,Tern,2
2013-09-02,NORTH,Gull,830
2013-09-02,NORTH,Shorebird,264
2013-09-02,PURISIMA,Gull,230
2013-09-02,PURISIMA,Shorebird,17
2013-09-02,SOUTH,Gull,146
2013-09-02,SOUTH,Shorebird,373
2013-09-09,NORTH,Gull,796
2013-09-09,NORTH,Shorebird,403
2013-09-09,PURISIMA,Gull,26
2013-09-09,PURISIMA,Shorebird,411
2013-09-09,SOUTH,Gull,305
2013-09-09,SOUTH,Shorebird,268
2013-09-16,NORTH,Gull,227
