survey_week,beach,species_type,total
2016-03-28,SOUTH,Shorebird,592
2016-04-04,NORTH,Shorebird,87
2016-04-04,PURISIMA,Shorebird,52
2016-04-11,SOUTH,Gull,1
2016-04-11,SOUTH,Shorebird,705
2016-04-18,NORTH,Shorebird,839
2016-04-18,PURISIMA,Shorebird,31
2016-04-25,SOUTH,Gull,45
2016-04-25,SOUTH,Shorebird,765
2016-04-25,SOUTH,Tern,4
2016-05-02,NORTH,Gull,1
2016-05-02,NORTH,Shorebird,1142
2016-05-02,PURISIMA,Shorebird,19
2016-05-09,NORTH,Shorebird,248
2016-05-09,PURISIMA,Shorebird,6
2016-05-09,SOUTH,Shorebird,1208
2016-05-16,NORTH,Shorebird,258
2016-05-16,PURISIMA,Gull,3
2016-05-16,PURISIMA,Shorebird,25
2016-05-16,SOUTH,Gull,2
2016-05-16,SOUTH,Shorebird,428
2016-05-30,NORTH,Shorebird,81
2016-05-30,PURISIMA,Shorebird,9
2016-05-30,SOUTH,Gull,1
2016-05-30,SOUTH,Shorebird,165
2016-06-20,NORTH,Gull,1
2016-06-20,NORTH,Shorebird,106
2016-06-20,PURISIMA,Gull,2
2016-06-20,PURISIMA,Shorebird,11
2016-06-27,SOUTH,Gull,327
2016-06-27,SOUTH,Shorebird,366
2016-07-04,NORTH,Gull,2
2016-07-04,NORTH,Shorebird,123
2016-07-04,PURISIMA,Shorebird,20
2016-07-11,SOUTH,Gull,173
2016-07-11,SOUTH,Shorebird,447
2016-07-18,NORTH,Gull,2
2016-07-18,NORTH,Shorebird,88
2016-07-18,PURISIMA,Gull,1
2016-07-18,PURISIMA,Shorebird,28
2016-08-01,NORTH,Gull,1
2016-08-01,NORTH,Shorebird,164
2016-08-01,PURISIMA,Shorebird,529
2016-08-01,SOUTH,Gull,653
2016-08-01,SOUTH,Shorebird,1166
2016-08-01,SOUTH,Tern,40
2016-08-08,SOUTH,Gull,593
2016-08-08,SOUTH,Shorebird,435
2016-08-08,SOUTH,Tern,87
2016-08-15,NORTH,Gull,468
2016-08-15,NORTH,Shorebird,360
2016-08-15,NORTH,Tern,390
2016-08-15,PURISIMA,Shorebird,34
2016-08-22,SOUTH,Gull,299
2016-08-22,SOUTH,Shorebird,1902
2016-08-22,SOUTH,Tern,224
2016-08-29,NORTH,Gull,94
2016-08-29,NORTH,Shorebird,575
2016-08-29,PURISIMA,Gull,13
2016-08-29,PURISIMA,Shorebird,42
2016-09-05,SOUTH,Gull,22
2016-09-05,SOUTH,Shorebird,1177
2016-09-05,SOUTH,Tern,1
2016-09-12,NORTH,Gull,4
2016-09-12,NORTH,Shorebird,85
2016-09-12,PURISIMA,Gull,1
2016-09-12,PURISIMA,Shorebird,166
2016-10-17,NORTH,Gull,13
2016-10-17,NORTH,Shorebird,1197
2016-10-17,PURISIMA,Shorebird,90
2016-10-17,SOUTH,Gull,6
2016-10-17,SOUTH,Shorebird,570
2016-11-28,NORTH,Gull,9
2016-11-28,NORTH,Shorebird,333
2016-11-28,PURISIMA,Shorebird,15
2016-11-28,SOUTH,Shorebird,452
2016-12-26,NORTH,Gull,9
2016-12-26,NORTH,Shorebird,393
2016-12-26,PURISIMA,Shorebird,11
2016-12-26,SOUTH,Gull,4
2016-12-26,SOUTH,Shorebird,571
2017-01-23,NORTH,Shorebird,390
2017-01-23,PURISIMA,Shorebird,15
2017-01-23,SOUTH,Gull,106
2017-01-23,SOUTH,Shorebird,303
2017-01-23,SOUTH,Tern,3
2017-02-20,NORTH,Gull,1
2017-02-20,NORTH,Shorebird,15
2017-02-20,SOUTH,Gull,1
2017-02-20,SOUTH,Shorebird,244
2017-03-06,SOUTH,Shorebird,1759
2017-03-13,NORTH,Shorebird,570
2017-03-13,PURISIMA,Shorebird,5
2017-03-20,SOUTH,Shorebird,30
2017-03-27,SOUTH,Shorebird,94
2017-04-03,SOUTH,Shorebird,275
2017-04-10,NORTH,Gull,200
2017-04-10,NORTH,Shorebird,221
2017-04-10,PURISIMA,Shorebird,8
2017-04-17,SOUTH,Gull,10
2017-04-17,SOUTH,Shorebird,502
2017-04-17,SOUTH,Tern,29
2017-05-01,SOUTH,Gull,214
2017-05-01,SOUTH,Shorebird,2082
2017-05-08,NORTH,Gull,30
2017-05-08,NORTH,Shorebird,130
2017-05-08,PURISIMA,Shorebird,8
2017-05-08,SOUTH,Gull,150
2017-05-08,SOUTH,Shorebird,3861
2017-05-08,SOUTH,Tern,4
2017-05-22,NORTH,Gull,330
2017-05-22,NORTH,Shorebird,70
2017-05-22,PURISIMA,Shorebird,10
2017-05-22,SOUTH,Gull,201
2017-05-22,SOUTH,Shorebird,353
2017-06-05,NORTH,Gull,101
2017-06-05,NORTH,Shorebird,70
2017-06-05,PURISIMA,Shorebird,11
2017-06-05,SOUTH,Gull,147
2017-06-05,SOUTH,Shorebird,191
2017-06-05,SOUTH,Tern,1
2017-06-19,NORTH,Gull,65
2017-06-19,NORTH,Shorebird,57
2017-06-19,PURISIMA,Gull,1
2017-06-19,PURISIMA,Shorebird,11
2017-06-19,SOUTH,Gull,139
2017-06-19,SOUTH,Shorebird,316
2017-06-26,SOUTH,Gull,7
2017-06-26,SOUTH,Shorebird,79
2017-07-03,NORTH,Gull,3
2017-07-03,NORTH,Shorebird,67
2017-07-03,PURISIMA,Shorebird,7
2017-07-10,SOUTH,Gull,61
2017-07-10,SOUTH,Shorebird,249
2017-07-10,SOUTH,Tern,3
2017-07-17,NORTH,Gull,3
2017-07-17,NORTH,Shorebird,121
2017-07-17,PURISIMA,Shorebird,2
2017-07-24,SOUTH,Gull,78
2017-07-24,SOUTH,Shorebird,852
2017-07-24,SOUTH,Tern,43
2017-07-31,NORTH,Gull,2
2017-07-31,NORTH,Shorebird,118
2017-07-31,PURISIMA,Shorebird,15
2017-08-07,SOUTH,Gull,184
2017-08-07,SOUTH,Shorebird,689
2017-08-07,SOUTH,Tern,14
2017-08-14,NORTH,Gull,96
2017-08-14,NORTH,Shorebird,262
2017-08-14,NORTH,Tern,2
2017-08-14,PURISIMA,Shorebird,37
2017-08-21,SOUTH,Gull,178
2017-08-21,SOUTH,Shorebird,2396
2017-08-21,SOUTH,Tern,25
2017-08-28,NORTH,Gull,307
2017-08-28,NORTH,Shorebird,627
2017-08-28,PURISIMA,Gull,17
2017-08-28,PURISIMA,Shorebird,432
2017-09-04,SOUTH,Gull,71
2017-09-04,SOUTH,Shorebird,591
2017-09-04,SOUTH,Tern,18
2017-09-11,NORTH,Gull,373
2017-09-11,NORTH,Shorebird,151
2017-09-11,PURISIMA,Shorebird,10
2017-09-18,SOUTH,Gull,55
2017-09-18,SOUTH,Shorebird,721
2017-09-18,SOUTH,Tern,13
2017-09-25,NORTH,Gull,29
2017-09-25,NORTH,Shorebird,751
2017-09-25,PURISIMA,Shorebird,101
2017-10-09,NORTH,Gull,24
2017-10-09,NORTH,Shorebird,930
2017-10-09,PURISIMA,Shorebird,10
2017-10-09,SOUTH,Gull,10
2017-10-09,SOUTH,Shorebird,539
2017-11-13,NORTH,Gull,84
2017-11-13,NORTH,Shorebird,640
2017-11-13,NORTH,Tern,1
2017-11-13,PURISIMA,Gull,2
2017-11-13,PURISIMA,Shorebird,10
2017-11-13,SOUTH,Gull,45
2017-11-13,SOUTH,Shorebird,438
2017-12-18,NORTH,Gull,12
2017-12-18,NORTH,Shorebird,385
2017-12-18,PURISIMA,Shorebird,25
2017-12-18,SOUTH,Gull,80
2017-12-18,SOUTH,Shorebird,273
2018-01-22,NORTH,Gull,3
2018-01-22,NORTH,Shorebird,386
2018-01-22,SOUTH,Gull,16
2018-01-22,SOUTH,Shorebird,429
2018-02-19,NORTH,Shorebird,371
2018-02-19,PURISIMA,Shorebird,25
2018-02-19,SOUTH,Shorebird,482
2018-03-05,SOUTH,Gull,4
2018-03-05,SOUTH,Shorebird,554
2018-03-12,NORTH,Shorebird,318
2018-03-12,PURISIMA,Shorebird,5
2018-03-19,SOUTH,Shorebird,735
2018-03-26,NORTH,Gull,1
2018-03-26,NORTH,Shorebird,740
2018-03-26,PURISIMA,Shorebird,3
2018-04-02,SOUTH,Gull,1
2018-04-02,SOUTH,Shorebird,986
2018-04-16,SOUTH,Gull,3
2018-04-16,SOUTH,Shorebird,1863
2018-04-23,NORTH,Gull,5
2018-04-23,NORTH,Shorebird,276
2018-04-23,PURISIMA,Shorebird,16
2018-04-30,SOUTH,Shorebird,1913
2018-05-07,NORTH,Gull,113
2018-05-07,NORTH,Shorebird,953
2018-05-07,PURISIMA,Shorebird,18
2018-05-07,SOUTH,Gull,3
2018-05-07,SOUTH,Shorebird,1050
2018-05-21,NORTH,Gull,3
2018-05-21,NORTH,Shorebird,66
2018-05-21,PURISIMA,Shorebird,8
2018-05-21,SOUTH,Gull,100
2018-05-21,SOUTH,Shorebird,226
2018-06-04,NORTH,Gull,111
2018-06-04,NORTH,Shorebird,95
2018-06-04,PURISIMA,Gull,1
2018-06-04,PURISIMA,Shorebird,7
2018-06-04,SOUTH,Gull,92
2018-06-04,SOUTH,Shorebird,192
2018-06-04,SOUTH,Tern,2
2018-06-18,NORTH,Gull,58
2018-06-18,NORTH,Shorebird,90
2018-06-18,PURISIMA,Gull,9
2018-06-18,PURISIMA,Shorebird,5
2018-06-18,SOUTH,Gull,82
2018-06-18,SOUTH,Shorebird,243
2018-06-18,SOUTH,Tern,9
2018-07-02,NORTH,Gull,117
2018-07-02,NORTH,Shorebird,67
2018-07-02,PURISIMA,Gull,1
2018-07-02,PURISIMA,Shorebird,1
2018-07-09,SOUTH,Gull,39
2018-07-09,SOUTH,Shorebird,273
2018-07-16,NORTH,Gull,196
2018-07-16,NORTH,Shorebird,144
2018-07-16,PURISIMA,Shorebird,6
2018-07-23,SOUTH,Gull,31
2018-07-23,SOUTH,Shorebird,403
2018-07-23,SOUTH,Tern,3
2018-07-30,NORTH,Gull,16
2018-07-30,NORTH,Shorebird,85
2018-07-30,PURISIMA,Gull,43
2018-07-30,PURISIMA,Shorebird,73
2018-08-13,NORTH,Gull,94
2018-08-13,NORTH,Shorebird,390
2018-08-13,NORTH,Tern,5
2018-08-13,PURISIMA,Gull,7
2018-08-13,PURISIMA,Shorebird,69
2018-08-13,SOUTH,Gull,26
2018-08-13,SOUTH,Shorebird,1029
2018-08-20,SOUTH,Gull,43
2018-08-20,SOUTH,Shorebird,1465
2018-08-20,SOUTH,Tern,20
2018-08-27,NORTH,Gull,101
2018-08-27,NORTH,Shorebird,173
2018-08-27,NORTH,Tern,26
2018-08-27,PURISIMA,Gull,1
2018-08-27,PURISIMA,Shorebird,192
2018-09-03,SOUTH,Gull,108
2018-09-03,SOUTH,Shorebird,1031
2018-09-03,SOUTH,Tern,58
2018-09-10,NORTH,Gull,412
2018-09-10,NORTH,Shorebird,396
2018-09-10,NORTH,Tern,70
2018-09-10,PURISIMA,Gull,3
2018-09-10,PURISIMA,Shorebird,22
2018-09-17,SOUTH,Gull,57
2018-09-17,SOUTH,Shorebird,657
2018-09-24,NORTH,Gull,118
2018-09-24,NORTH,Shorebird,1199
2018-09-24,NORTH,Tern,2
2018-09-24,PURISIMA,Gull,2
2018-09-24,PURISIMA,Shorebird,27
2018-10-15,NORTH,Gull,192
2018-10-15,NORTH,Shorebird,715
2018-10-15,NORTH,Tern,10
2018-10-15,SOUTH,Gull,3
2018-10-15,SOUTH,Shorebird,423
2018-10-15,SOUTH,Tern,13
2018-11-12,NORTH,Gull,8
2018-11-12,NORTH,Shorebird,408
2018-11-12,PURISIMA,Shorebird,24
2018-11-12,SOUTH,Gull,3
2018-11-12,SOUTH,Shorebird,228
2018-12-10,NORTH,Gull,6
2018-12-10,NORTH,Shorebird,526
2018-12-10,PURISIMA,Shorebird,20
2018-12-10,SOUTH,Gull,14
2018-12-10,SOUTH,Shorebird,294
2018-12-10,SOUTH,Tern,1
2019-01-28,NORTH,Gull,1
2019-01-28,NORTH,Shorebird,332
2019-01-28,PURISIMA,Shorebird,28
2019-01-28,SOUTH,Gull,5
2019-01-28,SOUTH,Shorebird,423
2019-02-18,SOUTH,Gull,5
2019-02-18,SOUTH,Shorebird,237
